,Time,Date,Exchange,Symbol,Trade_Volume,Trade_Price,Sale_Condition,Source_of_Trade,Trade_Stop_Stock_Indicator,Trade_Correction_Indicator,Sequence_Number,Trade_Id,Trade_Reporting_Facility,Participant_Timestamp,Trade_Reporting_Facility_TRF_Timestamp,Trade_Through_Exempt_Indicator
0,2023-01-03 07:08:39.036025,2023-01-03,B,AAPL,50,130.27,@ TI,N,,0,30963,1, ,70839036004151,,0
1,2023-01-03 07:19:15.643775,2023-01-03,B,AAPL,15,130.65,@ TI,N,,0,33698,2, ,71915643756066,,0
2,2023-01-03 07:19:15.643778,2023-01-03,B,AAPL,50,130.65,@ TI,N,,0,33699,3, ,71915643756066,,0
3,2023-01-03 07:47:24.197088,2023-01-03,B,AAPL,50,130.59,@ TI,N,,0,38859,4, ,74724197066899,,0
4,2023-01-03 08:00:02.794618,2023-01-03,B,AAPL,10,130.56,@ TI,N,,0,43631,5, ,80002794596514,,0
5,2023-01-03 08:08:01.711791,2023-01-03,B,AAPL,15,130.53,@ TI,N,,0,52731,6, ,80801711771637,,0
6,2023-01-03 08:36:03.903481,2023-01-03,B,AAPL,1,130.576,@ TI,N,,0,64767,7, ,83603903463110,,0
7,2023-01-03 08:39:10.163384,2023-01-03,B,AAPL,1,130.714,@ TI,N,,0,65754,8, ,83910163366310,,0
8,2023-01-03 08:55:04.000291,2023-01-03,B,AAPL,50,130.91,@FTI,N,,0,72771,9, ,85504000272165,,1
9,2023-01-03 08:55:04.000294,2023-01-03,B,AAPL,13,130.91,@FTI,N,,0,72772,10, ,85504000272165,,1
10,2023-01-03 09:05:33.133523,2023-01-03,B,AAPL,50,130.83,@FTI,N,,0,77246,11, ,90533133505625,,1
11,2023-01-03 09:06:41.842096,2023-01-03,B,AAPL,10,130.86,@ TI,N,,0,77689,12, ,90641842078243,,0
12,2023-01-03 09:06:41.842099,2023-01-03,B,AAPL,5,130.86,@ TI,N,,0,77690,13, ,90641842078243,,0
13,2023-01-03 09:09:21.068205,2023-01-03,B,AAPL,50,130.91,@ TI,N,,0,78675,14, ,90921068185421,,0
14,2023-01-03 09:15:05.296015,2023-01-03,B,AAPL,30,131.13,@ TI,N,,0,82568,15, ,91505295996493,,0
15,2023-01-03 09:16:16.795400,2023-01-03,B,AAPL,100,131.249,@ T ,N,,0,83952,16, ,91616795381809,,0
16,2023-01-03 09:16:41.745021,2023-01-03,B,AAPL,50,131.21,@ TI,N,,0,84348,17, ,91641745004272,,0
17,2023-01-03 09:19:55.923367,2023-01-03,B,AAPL,50,131.19,@ TI,N,,0,87450,18, ,91955923347086,,0
18,2023-01-03 09:20:18.785075,2023-01-03,B,AAPL,2,131.17,@ TI,N,,0,87954,19, ,92018785056381,,0
19,2023-01-03 09:20:19.085476,2023-01-03,B,AAPL,25,131.14,@ TI,N,,0,87964,20, ,92019085458767,,0
20,2023-01-03 09:20:19.085480,2023-01-03,B,AAPL,10,131.14,@ TI,N,,0,87965,21, ,92019085458767,,0
21,2023-01-03 09:20:22.995595,2023-01-03,B,AAPL,50,131.17,@FTI,N,,0,88009,22, ,92022995577259,,1
22,2023-01-03 09:20:22.995598,2023-01-03,B,AAPL,10,131.18,@FTI,N,,0,88010,23, ,92022995577259,,1
23,2023-01-03 09:20:23.961360,2023-01-03,B,AAPL,50,131.27,@FTI,N,,0,88077,24, ,92023961342027,,1
24,2023-01-03 09:20:23.961363,2023-01-03,B,AAPL,13,131.27,@FTI,N,,0,88078,25, ,92023961342027,,1
25,2023-01-03 09:20:23.961462,2023-01-03,B,AAPL,37,131.27,@FTI,N,,0,88079,26, ,92023961444803,,1
26,2023-01-03 09:20:23.961468,2023-01-03,B,AAPL,15,131.27,@FTI,N,,0,88080,27, ,92023961444803,,1
27,2023-01-03 09:20:23.961468,2023-01-03,B,AAPL,10,131.26,@FTI,N,,0,88081,28, ,92023961444803,,1
28,2023-01-03 09:20:23.961472,2023-01-03,B,AAPL,1,131.25,@FTI,N,,0,88082,29, ,92023961444803,,1
29,2023-01-03 09:22:03.412626,2023-01-03,B,AAPL,50,131.29,@FTI,N,,0,89441,30, ,92203412607954,,1
30,2023-01-03 09:22:03.412629,2023-01-03,B,AAPL,50,131.29,@FTI,N,,0,89442,31, ,92203412607954,,1
31,2023-01-03 09:22:43.672113,2023-01-03,B,AAPL,50,131.33,@ TI,N,,0,90149,32, ,92243672094814,,0
32,2023-01-03 09:23:55.553253,2023-01-03,B,AAPL,100,131.301,@ T ,N,,0,91723,33, ,92355553235852,,0
33,2023-01-03 09:25:53.813702,2023-01-03,B,AAPL,100,130.879,@ T ,N,,0,95101,34, ,92553813685008,,0
34,2023-01-03 09:27:00.173067,2023-01-03,B,AAPL,25,130.88,@ TI,N,,0,96203,35, ,92700173048577,,0
35,2023-01-03 09:27:00.174590,2023-01-03,B,AAPL,10,130.88,@ TI,N,,0,96210,36, ,92700174570317,,0
36,2023-01-03 09:27:00.174593,2023-01-03,B,AAPL,50,130.89,@ TI,N,,0,96211,37, ,92700174570317,,0
37,2023-01-03 09:27:00.174596,2023-01-03,B,AAPL,50,130.89,@ TI,N,,0,96212,38, ,92700174570317,,0
38,2023-01-03 09:27:00.174600,2023-01-03,B,AAPL,10,130.9,@ TI,N,,0,96213,39, ,92700174570317,,0
39,2023-01-03 09:27:00.174603,2023-01-03,B,AAPL,25,130.9,@ TI,N,,0,96214,40, ,92700174570317,,0
40,2023-01-03 09:27:00.506042,2023-01-03,B,AAPL,50,130.91,@ TI,N,,0,96258,41, ,92700506023718,,0
41,2023-01-03 09:27:00.506908,2023-01-03,B,AAPL,50,130.85,@ TI,N,,0,96271,42, ,92700506886721,,0
42,2023-01-03 09:27:00.506911,2023-01-03,B,AAPL,10,130.84,@ TI,N,,0,96272,43, ,92700506886721,,0
43,2023-01-03 09:27:00.506943,2023-01-03,B,AAPL,63,130.86,@FTI,N,,0,96273,44, ,92700506925706,,1
44,2023-01-03 09:27:40.045803,2023-01-03,B,AAPL,38,130.92,@FTI,N,,0,97269,45, ,92740045784414,,1
45,2023-01-03 09:27:40.045806,2023-01-03,B,AAPL,500,130.95,@FT ,N,,0,97270,46, ,92740045784414,,1
46,2023-01-03 09:27:51.756883,2023-01-03,B,AAPL,12,130.85,@ TI,N,,0,98153,47, ,92751756865587,,0
47,2023-01-03 09:28:00.149253,2023-01-03,B,AAPL,23,130.88,@FTI,N,,0,98497,48, ,92800149226178,,1
48,2023-01-03 09:28:00.149338,2023-01-03,B,AAPL,63,130.71,@FTI,N,,0,98523,49, ,92800149321895,,1
49,2023-01-03 09:28:00.149632,2023-01-03,B,AAPL,437,130.71,@FT ,N,,0,98550,50, ,92800149613219,,1
50,2023-01-03 09:28:01.182234,2023-01-03,B,AAPL,63,130.38,@FTI,N,,0,98930,51, ,92801182214681,,1
51,2023-01-03 09:28:01.182410,2023-01-03,B,AAPL,237,130.38,@FT ,N,,0,98936,52, ,92801182392156,,1
52,2023-01-03 09:28:03.933989,2023-01-03,B,AAPL,23,130.33,@FTI,N,,0,99188,53, ,92803933968520,,1
53,2023-01-03 09:28:03.934166,2023-01-03,B,AAPL,100,130.33,@FT ,N,,0,99189,54, ,92803934148350,,1
54,2023-01-03 09:28:04.029608,2023-01-03,B,AAPL,100,130.33,@FT ,N,,0,99190,55, ,92804029591095,,1
55,2023-01-03 09:28:04.053246,2023-01-03,B,AAPL,670,130.33,@ T ,N,,0,99192,56, ,92804053229513,,0
56,2023-01-03 09:28:04.053474,2023-01-03,B,AAPL,107,130.33,@FT ,N,,0,99193,57, ,92804053457248,,1
57,2023-01-03 09:28:04.053478,2023-01-03,B,AAPL,40,130.33,@FTI,N,,0,99194,58, ,92804053457248,,1
58,2023-01-03 09:28:04.072347,2023-01-03,B,AAPL,60,130.33,@FTI,N,,0,99204,59, ,92804072271924,,1
59,2023-01-03 09:28:08.098825,2023-01-03,B,AAPL,100,130.46,@FT ,N,,0,99277,60, ,92808098805823,,1
60,2023-01-03 09:29:30.244884,2023-01-03,B,AAPL,50,130.39,@FTI,N,,0,100784,61, ,92930244866147,,1
61,2023-01-03 09:29:39.701968,2023-01-03,B,AAPL,25,130.4,@ TI,N,,0,101071,62, ,92939701948853,,0
62,2023-01-03 09:29:39.701971,2023-01-03,B,AAPL,50,130.41,@ TI,N,,0,101072,63, ,92939701948853,,0
63,2023-01-03 09:29:39.701973,2023-01-03,B,AAPL,25,130.41,@ TI,N,,0,101073,64, ,92939701948853,,0
64,2023-01-03 09:29:39.707054,2023-01-03,B,AAPL,10,130.44,@ TI,N,,0,101081,65, ,92939707037934,,0
65,2023-01-03 09:30:00.233114,2023-01-03,B,AAPL,1,130.26,@  I,N,,0,102172,66, ,93000233094345,,0
66,2023-01-03 09:30:00.652670,2023-01-03,B,AAPL,1,130.27,@  I,N,,0,103518,67, ,93000652648473,,0
67,2023-01-03 09:30:00.652673,2023-01-03,B,AAPL,25,130.28,@  I,N,,0,103519,68, ,93000652648473,,0
68,2023-01-03 09:30:00.652676,2023-01-03,B,AAPL,10,130.28,@  I,N,,0,103520,69, ,93000652648473,,0
69,2023-01-03 09:30:00.670656,2023-01-03,B,AAPL,100,130.27,@   ,N,,0,103656,70, ,93000670636807,,0
70,2023-01-03 09:30:00.692831,2023-01-03,B,AAPL,1,130.27,@  I,N,,0,103790,71, ,93000692813994,,0
71,2023-01-03 09:30:00.848501,2023-01-03,B,AAPL,1,130.27,@  I,N,,0,104288,72, ,93000848482129,,0
72,2023-01-03 09:30:02.217640,2023-01-03,B,AAPL,100,130.48,@   ,N,,0,111286,73, ,93002217621334,,0
73,2023-01-03 09:30:02.887280,2023-01-03,B,AAPL,1,130.63,@  I,N,,0,114089,74, ,93002887261034,,0
74,2023-01-03 09:30:02.888138,2023-01-03,B,AAPL,1,130.62,@  I,N,,0,114098,75, ,93002888119872,,0
75,2023-01-03 09:30:03.232301,2023-01-03,B,AAPL,100,130.57,@   ,N,,0,116829,76, ,93003232282999,,0
76,2023-01-03 09:30:03.299987,2023-01-03,B,AAPL,100,130.58,@F  ,N,,0,117136,77, ,93003299971330,,1
77,2023-01-03 09:30:03.743998,2023-01-03,B,AAPL,1,130.6,@  I,N,,0,119354,78, ,93003743981025,,0
78,2023-01-03 09:30:03.744182,2023-01-03,B,AAPL,1,130.6,@  I,N,,0,119364,79, ,93003744165464,,0
79,2023-01-03 09:30:03.749520,2023-01-03,B,AAPL,100,130.6,@   ,N,,0,119428,80, ,93003749502971,,0
80,2023-01-03 09:30:03.749523,2023-01-03,B,AAPL,100,130.6,@   ,N,,0,119429,81, ,93003749502971,,0
81,2023-01-03 09:30:03.945828,2023-01-03,B,AAPL,1,130.68,@  I,N,,0,120524,82, ,93003945811151,,0
82,2023-01-03 09:30:03.946461,2023-01-03,B,AAPL,1,130.68,@  I,N,,0,120528,83, ,93003946445066,,0
83,2023-01-03 09:30:03.946979,2023-01-03,B,AAPL,1,130.68,@  I,N,,0,120529,84, ,93003946962135,,0
84,2023-01-03 09:30:04.001160,2023-01-03,B,AAPL,1,130.68,@  I,N,,0,120797,85, ,93004001142387,,0
85,2023-01-03 09:30:04.460762,2023-01-03,B,AAPL,1,130.67,@  I,N,,0,122409,86, ,93004460745564,,0
86,2023-01-03 09:30:05.253439,2023-01-03,B,AAPL,100,130.56,@F  ,N,,0,125426,87, ,93005253421405,,1
87,2023-01-03 09:30:06.149730,2023-01-03,B,AAPL,1,130.5,@  I,N,,0,127169,88, ,93006149712241,,0
88,2023-01-03 09:30:06.152127,2023-01-03,B,AAPL,226,130.5,@F  ,N,,0,127175,89, ,93006152108297,,1
89,2023-01-03 09:30:06.152179,2023-01-03,B,AAPL,173,130.5,@   ,N,,0,127176,90, ,93006152162997,,0
90,2023-01-03 09:30:06.574202,2023-01-03,B,AAPL,1,130.53,@  I,N,,0,128231,91, ,93006574184189,,0
91,2023-01-03 09:30:07.553095,2023-01-03,B,AAPL,11,130.44,@  I,N,,0,129513,92, ,93007553075816,,0
92,2023-01-03 09:30:07.654882,2023-01-03,B,AAPL,22,130.46,@  I,N,,0,129672,93, ,93007654865475,,0
93,2023-01-03 09:30:12.425766,2023-01-03,B,AAPL,1,130.37,@  I,N,,0,137472,94, ,93012425747328,,0
94,2023-01-03 09:30:14.536687,2023-01-03,B,AAPL,1,130.5,@  I,N,,0,143414,95, ,93014536670025,,0
95,2023-01-03 09:30:15.982161,2023-01-03,B,AAPL,100,130.4,@F  ,N,,0,145246,96, ,93015982144588,,1
96,2023-01-03 09:30:17.274151,2023-01-03,B,AAPL,1,130.35,@  I,N,,0,147413,97, ,93017274133725,,0
97,2023-01-03 09:30:17.579398,2023-01-03,B,AAPL,1,130.39,@  I,N,,0,147920,98, ,93017579379348,,0
98,2023-01-03 09:30:17.579405,2023-01-03,B,AAPL,99,130.39,@  I,N,,0,147921,99, ,93017579379348,,0
99,2023-01-03 09:30:17.579883,2023-01-03,B,AAPL,1,130.39,@  I,N,,0,147929,100, ,93017579865808,,0
100,2023-01-03 09:30:18.280562,2023-01-03,B,AAPL,1,130.44,@  I,N,,0,149505,101, ,93018280543535,,0
101,2023-01-03 09:30:19.896756,2023-01-03,B,AAPL,1,130.39,@  I,N,,0,150936,102, ,93019896736215,,0
102,2023-01-03 09:30:23.133507,2023-01-03,B,AAPL,1,130.32,@  I,N,,0,152564,103, ,93023133488252,,0
103,2023-01-03 09:30:28.786314,2023-01-03,B,AAPL,100,130.48,@   ,N,,0,155452,104, ,93028786297259,,0
104,2023-01-03 09:30:35.013982,2023-01-03,B,AAPL,1,130.27,@F I,N,,0,159974,105, ,93035013965721,,1
105,2023-01-03 09:30:36.913711,2023-01-03,B,AAPL,1,130.36,@  I,N,,0,161274,106, ,93036913692588,,0
106,2023-01-03 09:30:41.780235,2023-01-03,B,AAPL,5,130.12,@  I,N,,0,164650,107, ,93041780217001,,0
107,2023-01-03 09:30:41.780250,2023-01-03,B,AAPL,21,130.12,@  I,N,,0,164651,108, ,93041780234519,,0
108,2023-01-03 09:30:41.780267,2023-01-03,B,AAPL,9,130.12,@  I,N,,0,164652,109, ,93041780251058,,0
109,2023-01-03 09:30:41.780282,2023-01-03,B,AAPL,60,130.12,@  I,N,,0,164653,110, ,93041780265737,,0
110,2023-01-03 09:30:41.780304,2023-01-03,B,AAPL,5,130.12,@  I,N,,0,164654,111, ,93041780287950,,0
111,2023-01-03 09:30:46.591406,2023-01-03,B,AAPL,85,130.05,@F I,N,,0,168509,112, ,93046591384381,,1
112,2023-01-03 09:30:46.591510,2023-01-03,B,AAPL,85,130.05,@F I,N,,0,168510,113, ,93046591494044,,1
113,2023-01-03 09:30:46.591625,2023-01-03,B,AAPL,30,130.05,@F I,N,,0,168511,114, ,93046591567072,,1
114,2023-01-03 09:30:48.935775,2023-01-03,B,AAPL,10,129.99,@  I,N,,0,171670,115, ,93048935757829,,0
115,2023-01-03 09:30:49.982543,2023-01-03,B,AAPL,25,129.99,@  I,N,,0,172704,116, ,93049982525395,,0
116,2023-01-03 09:30:49.982546,2023-01-03,B,AAPL,48,129.99,@  I,N,,0,172708,117, ,93049982526490,,0
117,2023-01-03 09:30:49.982677,2023-01-03,B,AAPL,27,129.99,@F I,N,,0,172754,118, ,93049982660679,,1
118,2023-01-03 09:30:57.302023,2023-01-03,B,AAPL,200,129.85,@F  ,N,,0,180939,119, ,93057302005953,,1
119,2023-01-03 09:30:57.842450,2023-01-03,B,AAPL,1,129.88,@F I,N,,0,181701,120, ,93057842433215,,1
120,2023-01-03 09:31:00.934135,2023-01-03,B,AAPL,1,129.73,@  I,N,,0,185802,121, ,93100934117171,,0
121,2023-01-03 09:31:16.421165,2023-01-03,B,AAPL,100,129.78,@   ,N,,0,198612,122, ,93116421145722,,0
122,2023-01-03 09:31:33.463175,2023-01-03,B,AAPL,1,129.49,@  I,N,,0,213762,123, ,93133463157178,,0
123,2023-01-03 09:31:33.469752,2023-01-03,B,AAPL,1,129.49,@  I,N,,0,213768,124, ,93133469734541,,0
124,2023-01-03 09:31:35.765608,2023-01-03,B,AAPL,63,129.55,@F I,N,,0,215215,125, ,93135765589017,,1
125,2023-01-03 09:31:44.057181,2023-01-03,B,AAPL,10,129.66,@  I,N,,0,220621,126, ,93144057163839,,0
126,2023-01-03 09:31:55.259997,2023-01-03,B,AAPL,1,129.65,@  I,N,,0,226801,127, ,93155259979714,,0
127,2023-01-03 09:32:12.286995,2023-01-03,B,AAPL,1,129.61,@  I,N,,0,239389,128, ,93212286976954,,0
128,2023-01-03 09:32:12.320600,2023-01-03,B,AAPL,1,129.6,@F I,N,,0,239427,129, ,93212320581607,,1
129,2023-01-03 09:32:14.982003,2023-01-03,B,AAPL,1,129.67,@F I,N,,0,241069,130, ,93214981984709,,1
130,2023-01-03 09:32:17.258802,2023-01-03,B,AAPL,187,129.68,@F  ,N,,0,242595,131, ,93217258783646,,1
131,2023-01-03 09:32:35.544119,2023-01-03,B,AAPL,24,129.74,@F I,N,,0,254431,132, ,93235544098442,,1
132,2023-01-03 09:32:40.382761,2023-01-03,B,AAPL,1,129.77,@  I,N,,0,257356,133, ,93240382741303,,0
133,2023-01-03 09:33:30.525826,2023-01-03,B,AAPL,1,129.61,@  I,N,,0,293363,134, ,93330525809107,,0
134,2023-01-03 09:33:43.701585,2023-01-03,B,AAPL,1,129.84,@  I,N,,0,301422,135, ,93343701567915,,0
135,2023-01-03 09:34:00.196440,2023-01-03,B,AAPL,1,130.04,@  I,N,,0,312950,136, ,93400196419210,,0
136,2023-01-03 09:34:00.937747,2023-01-03,B,AAPL,1,130.02,@F I,N,,0,313698,137, ,93400937728500,,1
137,2023-01-03 09:34:01.715544,2023-01-03,B,AAPL,1,130.04,@  I,N,,0,314237,138, ,93401715525559,,0
138,2023-01-03 09:34:07.517223,2023-01-03,B,AAPL,50,130.12,@  I,N,,0,318567,139, ,93407517205266,,0
139,2023-01-03 09:34:29.946517,2023-01-03,B,AAPL,63,129.82,@F I,N,,0,334065,140, ,93429946498567,,1
140,2023-01-03 09:34:29.946729,2023-01-03,B,AAPL,63,129.82,@F I,N,,0,334067,141, ,93429946712611,,1
141,2023-01-03 09:34:29.946774,2023-01-03,B,AAPL,63,129.82,@F I,N,,0,334068,142, ,93429946757975,,1
142,2023-01-03 09:34:30.923655,2023-01-03,B,AAPL,36,129.8,@F I,N,,0,335447,143, ,93430923636660,,1
143,2023-01-03 09:34:31.352733,2023-01-03,B,AAPL,100,129.8,@F  ,N,,0,335733,144, ,93431352711871,,1
144,2023-01-03 09:34:31.352755,2023-01-03,B,AAPL,69,129.8,@  I,N,,0,335734,145, ,93431352739270,,0
145,2023-01-03 09:34:31.352801,2023-01-03,B,AAPL,63,129.8,@F I,N,,0,335735,146, ,93431352782812,,1
146,2023-01-03 09:34:31.352810,2023-01-03,B,AAPL,1,129.8,@  I,N,,0,335736,147, ,93431352792648,,0
147,2023-01-03 09:34:31.352841,2023-01-03,B,AAPL,50,129.8,@F I,N,,0,335737,148, ,93431352825900,,1
148,2023-01-03 09:34:31.352873,2023-01-03,B,AAPL,100,129.795,@   ,N,,0,335738,149, ,93431352855312,,0
149,2023-01-03 09:34:31.353238,2023-01-03,B,AAPL,14,129.795,@  I,N,,0,335751,150, ,93431353220050,,0
150,2023-01-03 09:34:31.671194,2023-01-03,B,AAPL,100,129.81,@   ,N,,0,335973,151, ,93431671177197,,0
151,2023-01-03 09:34:31.939559,2023-01-03,B,AAPL,12,129.835,@  I,N,,0,336227,152, ,93431939541879,,0
152,2023-01-03 09:34:31.939797,2023-01-03,B,AAPL,21,129.83,@F I,N,,0,336232,153, ,93431939780814,,1
153,2023-01-03 09:34:33.231313,2023-01-03,B,AAPL,100,129.83,@F  ,N,,0,337163,154, ,93433231295664,,1
154,2023-01-03 09:34:34.438549,2023-01-03,B,AAPL,100,129.79,@F  ,N,,0,337939,155, ,93434438531372,,1
155,2023-01-03 09:34:34.468314,2023-01-03,B,AAPL,1,129.78,@  I,N,,0,338149,156, ,93434468297156,,0
156,2023-01-03 09:34:40.843426,2023-01-03,B,AAPL,100,129.78,@   ,N,,0,341742,157, ,93440843407122,,0
157,2023-01-03 09:34:40.843429,2023-01-03,B,AAPL,100,129.78,@   ,N,,0,341743,158, ,93440843407122,,0
158,2023-01-03 09:34:42.811273,2023-01-03,B,AAPL,100,129.82,@   ,N,,0,343245,159, ,93442811255156,,0
159,2023-01-03 09:34:45.945514,2023-01-03,B,AAPL,1,129.77,@  I,N,,0,345443,160, ,93445945494671,,0
160,2023-01-03 09:34:54.475973,2023-01-03,B,AAPL,100,129.9,@F  ,N,,0,349927,161, ,93454475954336,,1
161,2023-01-03 09:35:00.997980,2023-01-03,B,AAPL,1,129.92,@  I,N,,0,356036,162, ,93500997963702,,0
162,2023-01-03 09:35:02.296874,2023-01-03,B,AAPL,1,129.94,@F I,N,,0,357793,163, ,93502296856142,,1
163,2023-01-03 09:35:02.296877,2023-01-03,B,AAPL,99,129.94,@F I,N,,0,357794,164, ,93502296856142,,1
164,2023-01-03 09:35:23.670274,2023-01-03,B,AAPL,3,130.16,@  I,N,,0,372530,165, ,93523670253355,,0
165,2023-01-03 09:35:38.523939,2023-01-03,B,AAPL,3,130.04,@  I,N,,0,382216,166, ,93538523922433,,0
166,2023-01-03 09:35:38.673505,2023-01-03,B,AAPL,1,130.03,@  I,N,,0,382345,167, ,93538673488348,,0
167,2023-01-03 09:35:38.674159,2023-01-03,B,AAPL,1,130.03,@F I,N,,0,382346,168, ,93538674142484,,1
168,2023-01-03 09:35:41.314372,2023-01-03,B,AAPL,1,130.1,@  I,N,,0,384722,169, ,93541314354333,,0
169,2023-01-03 09:36:00.413361,2023-01-03,B,AAPL,26,129.88,@  I,N,,0,397560,170, ,93600413342513,,0
170,2023-01-03 09:36:00.583097,2023-01-03,B,AAPL,74,129.88,@F I,N,,0,397631,171, ,93600583080384,,1
171,2023-01-03 09:37:02.071366,2023-01-03,B,AAPL,1,129.61,@F I,N,,0,438216,172, ,93702071347600,,1
172,2023-01-03 09:37:24.181274,2023-01-03,B,AAPL,8,129.69,@F I,N,,0,452036,173, ,93724181256519,,1
173,2023-01-03 09:37:34.236690,2023-01-03,B,AAPL,12,129.62,@  I,N,,0,459035,174, ,93734236671988,,0
174,2023-01-03 09:37:51.235730,2023-01-03,B,AAPL,57,129.98,@  I,N,,0,470377,175, ,93751235712004,,0
175,2023-01-03 09:38:02.582523,2023-01-03,B,AAPL,100,130.06,@   ,N,,0,479741,176, ,93802582506155,,0
176,2023-01-03 09:38:31.122534,2023-01-03,B,AAPL,1,130.02,@  I,N,,0,497621,177, ,93831122514028,,0
177,2023-01-03 09:38:31.122731,2023-01-03,B,AAPL,1,130.02,@F I,N,,0,497627,178, ,93831122715603,,1
178,2023-01-03 09:38:31.988390,2023-01-03,B,AAPL,1,130.01,@  I,N,,0,498128,179, ,93831988370653,,0
179,2023-01-03 09:38:32.178469,2023-01-03,B,AAPL,24,130.01,@  I,N,,0,498337,180, ,93832178447268,,0
180,2023-01-03 09:38:32.183349,2023-01-03,B,AAPL,27,130.06,@F I,N,,0,498428,181, ,93832183331025,,1
181,2023-01-03 09:38:34.466143,2023-01-03,B,AAPL,16,130.05,@  I,N,,0,500334,182, ,93834466126273,,0
182,2023-01-03 09:38:36.309502,2023-01-03,B,AAPL,29,130.01,@  I,N,,0,501115,183, ,93836309483471,,0
183,2023-01-03 09:38:52.364026,2023-01-03,B,AAPL,14,130.09,@  I,N,,0,506336,184, ,93852364008280,,0
184,2023-01-03 09:38:58.113354,2023-01-03,B,AAPL,3,130.07,@F I,N,,0,508723,185, ,93858113334000,,1
185,2023-01-03 09:38:58.113358,2023-01-03,B,AAPL,100,130.07,@F  ,N,,0,508724,186, ,93858113334000,,1
186,2023-01-03 09:39:09.295291,2023-01-03,B,AAPL,30,130.34,@F I,N,,0,514978,187, ,93909295274428,,1
187,2023-01-03 09:39:11.200178,2023-01-03,B,AAPL,5,130.33,@  I,N,,0,515859,188, ,93911200159089,,0
188,2023-01-03 09:39:11.200213,2023-01-03,B,AAPL,5,130.33,@F I,N,,0,515860,189, ,93911200193641,,1
189,2023-01-03 09:39:12.838300,2023-01-03,B,AAPL,22,130.35,@  I,N,,0,516619,190, ,93912838276192,,0
190,2023-01-03 09:39:20.580187,2023-01-03,B,AAPL,10,130.46,@F I,N,,0,519780,191, ,93920580168304,,1
191,2023-01-03 09:39:21.271926,2023-01-03,B,AAPL,3,130.54,@  I,N,,0,520277,192, ,93921271908655,,0
192,2023-01-03 09:39:22.157870,2023-01-03,B,AAPL,100,130.54,@   ,N,,0,520607,193, ,93922157853427,,0
193,2023-01-03 09:39:25.993235,2023-01-03,B,AAPL,9,130.6,@F I,N,,0,522803,194, ,93925993216156,,1
194,2023-01-03 09:39:25.993283,2023-01-03,B,AAPL,91,130.6,@F I,N,,0,522804,195, ,93925993264412,,1
195,2023-01-03 09:39:26.805871,2023-01-03,B,AAPL,31,130.62,@  I,N,,0,523269,196, ,93926805853352,,0
196,2023-01-03 09:39:29.219184,2023-01-03,B,AAPL,29,130.59,@  I,N,,0,524262,197, ,93929219165666,,0
197,2023-01-03 09:39:29.257102,2023-01-03,B,AAPL,32,130.6,@F I,N,,0,524266,198, ,93929257085638,,1
198,2023-01-03 09:39:32.958165,2023-01-03,B,AAPL,6,130.63,@F I,N,,0,526705,199, ,93932958147159,,1
199,2023-01-03 09:39:43.396543,2023-01-03,B,AAPL,2,130.57,@F I,N,,0,530486,200, ,93943396524821,,1
200,2023-01-03 09:39:43.396546,2023-01-03,B,AAPL,4,130.56,@F I,N,,0,530487,201, ,93943396524821,,1
201,2023-01-03 09:39:55.749549,2023-01-03,B,AAPL,1,130.43,@F I,N,,0,535413,202, ,93955749530988,,1
202,2023-01-03 09:39:58.785062,2023-01-03,B,AAPL,3,130.5,@F I,N,,0,536411,203, ,93958785043506,,1
203,2023-01-03 09:40:28.708176,2023-01-03,B,AAPL,10,130.39,@  I,N,,0,549690,204, ,94028708157686,,0
204,2023-01-03 09:41:04.965856,2023-01-03,B,AAPL,10,130.66,@  I,N,,0,566250,205, ,94104965838925,,0
205,2023-01-03 09:41:21.569548,2023-01-03,B,AAPL,12,130.68,@F I,N,,0,572969,206, ,94121569528852,,1
206,2023-01-03 09:41:21.569551,2023-01-03,B,AAPL,13,130.67,@F I,N,,0,572970,207, ,94121569528852,,1
207,2023-01-03 09:41:44.262484,2023-01-03,B,AAPL,8,130.67,@F I,N,,0,582427,208, ,94144262466618,,1
208,2023-01-03 09:41:48.125679,2023-01-03,B,AAPL,13,130.68,@  I,N,,0,583820,209, ,94148125660623,,0
209,2023-01-03 09:42:00.657373,2023-01-03,B,AAPL,12,130.77,@F I,N,,0,589069,210, ,94200657355509,,1
210,2023-01-03 09:42:02.129936,2023-01-03,B,AAPL,12,130.81,@F I,N,,0,589407,211, ,94202129910173,,1
211,2023-01-03 09:42:02.134573,2023-01-03,B,AAPL,12,130.82,@F I,N,,0,589603,212, ,94202134554746,,1
212,2023-01-03 09:42:02.134615,2023-01-03,B,AAPL,12,130.82,@F I,N,,0,589606,213, ,94202134598454,,1
213,2023-01-03 09:42:02.134656,2023-01-03,B,AAPL,63,130.82,@F I,N,,0,589611,214, ,94202134637562,,1
214,2023-01-03 09:42:02.135354,2023-01-03,B,AAPL,12,130.82,@F I,N,,0,589631,215, ,94202135335616,,1
215,2023-01-03 09:42:02.136043,2023-01-03,B,AAPL,1,130.82,@F I,N,,0,589635,216, ,94202136025266,,1
216,2023-01-03 09:42:02.136045,2023-01-03,B,AAPL,11,130.82,@F I,N,,0,589636,217, ,94202136025266,,1
217,2023-01-03 09:42:02.377526,2023-01-03,B,AAPL,100,130.84,@F  ,N,,0,590054,218, ,94202377506947,,1
